Filename,Brier Score,Sen,Spe,Acc,Pre,MCC,TP,FP,TN,FN
1xdp_aligned_filled.csv,0.0024187627365356624,0.9230769230769231,1.0,0.9985443959243085,1.0,0.960056978366077,12,0,674,1
3tux_aligned_filled.csv,0.04876969273743017,0.0,1.0,0.946927374301676,0.0,0.0,0,0,339,19
3zcb_aligned_filled.csv,0.06960469191919193,0.0,0.972972972972973,0.9090909090909091,0.0,-0.04266700508664742,0,5,180,13
5bsm_aligned_filled.csv,0.036284791512915124,0.14285714285714285,0.9731285988483686,0.940959409594096,0.17647058823529413,0.12841891630264857,3,14,507,18
3dnt_aligned_filled.csv,0.019722104545454543,0.5,1.0,0.975,1.0,0.6979824404521128,11,0,418,11
1z0s_aligned_filled.csv,0.023182715827338128,0.9090909090909091,0.9737827715355806,0.9712230215827338,0.5882352941176471,0.7182999383348676,10,7,260,1
3v2u_aligned_filled.csv,0.03676751153846153,0.05,0.992,0.9557692307692308,0.2,0.08276765936580063,1,4,496,19
1mb9_aligned_filled.csv,0.003534037037037037,0.9444444444444444,1.0,0.9980506822612085,1.0,0.970845158910856,17,0,495,1
7nsd_aligned_filled.csv,0.10164815656565657,0.0,1.0,0.8838383838383839,0.0,0.0,0,0,175,23
6d5k_aligned_filled.csv,0.02558411224489796,0.0,0.9375,0.9183673469387755,0.0,-0.036860489038724284,0,12,180,4
3gqk_aligned_filled.csv,0.005971012269938651,1.0,1.0,1.0,1.0,1.0,12,0,151,0
3hy2_aligned_filled.csv,0.038498909090909084,0.7,0.99,0.9636363636363636,0.875,0.7638428387783321,7,1,99,3
2j9c_aligned_filled.csv,0.04738391596638656,0.5384615384615384,0.9622641509433962,0.9159663865546218,0.6363636363636364,0.5392824182880277,7,4,102,6
1d4x_aligned_filled.csv,0.04233088533333333,0.09523809523809523,0.9689265536723164,0.92,0.15384615384615385,0.0806456857619538,2,11,343,19
6h77_aligned_filled.csv,0.01722840192926045,0.8947368421052632,0.9794520547945206,0.9742765273311897,0.7391304347826086,0.8000430383543097,17,6,286,2
2aqx_aligned_filled.csv,0.01241642214532872,0.6666666666666666,0.996309963099631,0.9757785467128027,0.9230769230769231,0.7730238625339325,12,1,270,6
3wdl_aligned_filled.csv,0.06146732183908046,0.0,1.0,0.9310344827586207,0.0,0.0,0,0,243,18
3amt_aligned_filled.csv,0.04763448636363636,0.0,0.9976076555023924,0.9477272727272728,0.0,-0.010949415576853559,0,1,417,22
4cta_aligned_filled.csv,0.034810766497461926,0.0625,1.0,0.9619289340101523,1.0,0.24518259280950983,1,0,378,15
6aaz_aligned_filled.csv,0.017555967153284672,0.5384615384615384,1.0,0.9781021897810219,1.0,0.7255076010423791,7,0,261,6
3f5m_aligned_filled.csv,0.004170137577002054,0.8235294117647058,1.0,0.9938398357289527,1.0,0.9046027751578484,14,0,470,3
7tgk_aligned_filled.csv,0.028979622549019608,0.21739130434782608,0.9796264855687606,0.9509803921568627,0.29411764705882354,0.22800483931508855,5,12,577,18
6ksh_aligned_filled.csv,0.01659656614785992,0.4375,0.9979919678714859,0.980544747081712,0.875,0.6109906442169684,7,1,497,9
1j09_chainA_500GLU Removed.csv,0.004943472222222222,0.8571428571428571,1.0,0.9957264957264957,1.0,0.9237875614266607,12,0,454,2
1xdn_aligned_filled.csv,0.016194884476534294,0.6,1.0,0.9783393501805054,1.0,0.7658767291014296,9,0,262,6
8dbj_aligned_filled.csv,0.019928169811320756,0.0,0.9967948717948718,0.9779874213836478,0.0,-0.007788766729290964,0,1,311,6
2py7_aligned_filled.csv,0.022788457407407408,0.3157894736842105,1.0,0.975925925925926,1.0,0.5550691082753221,6,0,521,13
