Filename,Brier Score (ATPbind),Sen (ATPbind),Spe (ATPbind),Acc (ATPbind),Pre (ATPbind),MCC (ATPbind),TP (ATPbind),FP (ATPbind),TN (ATPbind),FN (ATPbind),Brier Score (ATPseq),Sen (ATPseq),Spe (ATPseq),Acc (ATPseq),Pre (ATPseq),MCC (ATPseq),TP (ATPseq),FP (ATPseq),TN (ATPseq),FN (ATPseq)
3ta0_ChainA.csv,0.055358448099773194,0.3333333333333333,1.0,0.9175257731958762,1.0,0.5519596889337892,4,0,85,8,0.05987700391862887,0.4166666666666667,1.0,0.9278350515463918,1.0,0.6204544851283953,5,0,85,7
3ta2_ChainA.csv,0.04797287380584405,0.46153846153846156,1.0,0.9357798165137615,1.0,0.6558748127330362,6,0,96,7,0.047411122113633034,0.46153846153846156,1.0,0.9357798165137615,1.0,0.6558748127330362,6,0,96,7
4usi_ChainA.csv,0.039299572068669575,0.6923076923076923,0.9803921568627451,0.9478260869565217,0.8181818181818182,0.7242359522717465,9,2,100,4,0.025739297795947826,0.8461538461538461,0.9901960784313726,0.9739130434782609,0.9166666666666666,0.8662645630380896,11,1,101,2
4yb7_ChainA.csv,0.0476154197042027,0.0,1.0,0.9493243243243243,0.0,0.0,0,0,281,15,0.046931808357125,0.06666666666666667,0.9893238434163701,0.9425675675675675,0.25,0.10636329728777998,1,3,278,14
6mm2_ChainA.csv,0.07258272921259597,0.5,0.9759036144578314,0.898989898989899,0.8,0.5813304039711766,8,2,81,8,0.09338077960886867,0.25,0.9879518072289156,0.8686868686868687,0.8,0.39998077369840834,4,1,82,12
7dah_ChainC.csv,0.05306077611575,0.0,1.0,0.9444444444444444,0.0,0.0,0,0,272,16,0.05060761539598958,0.0,0.9926470588235294,0.9375,0.0,-0.020281847857870915,0,2,270,16
4ozn_ChainA.csv,0.030017056719060346,0.7272727272727273,0.9904761904761905,0.9655172413793104,0.8888888888888888,0.7860504033246375,8,1,104,3,0.02647400804526724,0.7272727272727273,1.0,0.9741379310344828,1.0,0.8408749651825217,8,0,105,3
7p52_ChainA.csv,0.043822081867198194,0.6153846153846154,0.9693877551020408,0.9279279279279279,0.7272727272727273,0.629325335731238,8,3,95,5,0.03755893254601801,0.8461538461538461,0.9693877551020408,0.954954954954955,0.7857142857142857,0.7899160689298009,11,3,95,2
3lf0_ChainA.csv,0.04727451946582827,0.45454545454545453,0.9886363636363636,0.9292929292929293,0.8333333333333334,0.5837172315870184,5,1,87,6,0.05517322355011112,0.45454545454545453,1.0,0.9393939393939394,1.0,0.6523280730534422,5,0,88,6
6ntb_ChainA.csv,0.07166771541604211,0.5714285714285714,0.9382716049382716,0.8842105263157894,0.6153846153846154,0.5257057277021717,8,5,76,6,0.09392947513169471,0.14285714285714285,0.9629629629629629,0.8421052631578947,0.4,0.16798421022632323,2,3,78,12
4rx6_ChainA.csv,0.07933387700659635,0.7272727272727273,0.9081632653061225,0.8899082568807339,0.47058823529411764,0.5275490152598205,8,9,89,3,0.05120830872730274,0.6363636363636364,0.9693877551020408,0.9357798165137615,0.7,0.6321006014317588,7,3,95,4
5l9n_ChainA.csv,0.0541438513618913,0.45454545454545453,0.9876543209876543,0.9239130434782609,0.8333333333333334,0.5810754390043005,5,1,80,6,0.053922396552543495,0.45454545454545453,1.0,0.9347826086956522,1.0,0.6505363111794832,5,0,81,6
3ncq_ChainA.csv,0.045964503848562495,0.46153846153846156,0.98989898989899,0.9285714285714286,0.8571428571428571,0.5973696986377505,6,1,98,7,0.04593192614482143,0.46153846153846156,0.98989898989899,0.9285714285714286,0.8571428571428571,0.5973696986377505,6,1,98,7
