Filename,Brier Score,Sen,Spe,Acc,Pre,MCC,TP,FP,TN,FN
3ta0_aligned_filled.csv,0.03346990677966101,0.6666666666666666,0.9716981132075472,0.940677966101695,0.7272727272727273,0.6636272979115931,8,3,103,4
3ta2_aligned_filled.csv,0.03646990677966102,0.6153846153846154,0.9714285714285714,0.9322033898305084,0.7272727272727273,0.6319430748250506,8,3,102,5
4usi_aligned_filled.csv,0.01419974025974026,0.8461538461538461,1.0,0.987012987012987,1.0,0.9134109297721474,11,0,141,2
4yb7_aligned_filled.csv,0.044262060000000006,0.0,1.0,0.95,0.0,0.0,0,0,285,15
6mm2_aligned_filled.csv,0.14149166346153844,0.0,1.0,0.8461538461538461,0.0,0.0,0,0,88,16
7p50_aligned_filled.csv,0.031100924242424242,0.6153846153846154,0.9747899159663865,0.9393939393939394,0.7272727272727273,0.636262888792041,8,3,116,5
7dah_aligned_filled.csv,0.04484438064516129,0.0,1.0,0.9483870967741935,0.0,0.0,0,0,294,16
4ozn_aligned_filled.csv,0.030708111888111893,0.6363636363636364,0.9696969696969697,0.9440559440559441,0.6363636363636364,0.6060606060606061,7,4,128,4
7r31_aligned_filled.csv,0.13123348333333332,0.0,1.0,0.8583333333333333,0.0,0.0,0,0,103,17
7r2y_aligned_filled.csv,0.08489909999999999,0.0,1.0,0.9083333333333333,0.0,0.0,0,0,109,11
7p52_aligned_filled.csv,0.03744480357142858,0.6153846153846154,0.9696969696969697,0.9285714285714286,0.7272727272727273,0.6297217204085512,8,3,96,5
3lf0_aligned_filled.csv,0.03860686842105263,0.6363636363636364,0.9611650485436893,0.9298245614035088,0.6363636363636364,0.5975286849073257,7,4,99,4
7r2z_aligned_filled.csv,0.0774991,0.0,1.0,0.9166666666666666,0.0,0.0,0,0,110,10
6ntb_aligned_filled.csv,0.1228955096153846,0.0,1.0,0.8653846153846154,0.0,0.0,0,0,90,14
4rx6_aligned_filled.csv,0.045548,0.5454545454545454,0.9545454545454546,0.9173553719008265,0.5454545454545454,0.5,6,5,105,5
5l9n_aligned_filled.csv,0.04811781249999999,0.5454545454545454,0.9504950495049505,0.9107142857142857,0.5454545454545454,0.495949594959496,6,5,96,5
4aff_aligned_filled.csv,0.04130777586206898,0.5833333333333334,0.9615384615384616,0.9224137931034483,0.6363636363636364,0.5663835456564048,7,4,100,5
3ncq_aligned_filled.csv,0.03471043697478993,0.6153846153846154,0.9716981132075472,0.9327731092436975,0.7272727272727273,0.6322890962246586,8,3,103,5
