Filename,Brier Score (ATPbind),Sen (ATPbind),Spe (ATPbind),Acc (ATPbind),Pre (ATPbind),MCC (ATPbind),TP (ATPbind),FP (ATPbind),TN (ATPbind),FN (ATPbind),Brier Score (ATPseq),Sen (ATPseq),Spe (ATPseq),Acc (ATPseq),Pre (ATPseq),MCC (ATPseq),TP (ATPseq),FP (ATPseq),TN (ATPseq),FN (ATPseq)
6h77_chainA.csv,0.009891189797212626,0.8947368421052632,0.9964539007092199,0.9900332225913622,0.9444444444444444,0.9139923293976346,17,1,281,2,0.012621737582627907,0.8947368421052632,0.9929078014184397,0.9867109634551495,0.8947368421052632,0.8876446435237029,17,2,280,2
3v2u_chainC.csv,0.010866165870844964,0.65,0.9979838709677419,0.9844961240310077,0.9285714285714286,0.7698465282696803,13,1,495,7,0.01573693034743605,0.55,0.9959677419354839,0.9786821705426356,0.8461538461538461,0.6724610756013287,11,2,494,9
5bsm_chainA.csv,0.002604921132771698,0.9523809523809523,1.0,0.9981132075471698,1.0,0.9749428387084202,20,0,509,1,0.0026197974551396223,0.9523809523809523,1.0,0.9981132075471698,1.0,0.9749428387084202,20,0,509,1
3tux_chainA.csv,0.02033748887175893,0.47368421052631576,1.0,0.9702380952380952,1.0,0.6776418337534423,9,0,317,10,0.02519680829386012,0.42105263157894735,0.9968454258675079,0.9642857142857143,0.8888888888888888,0.5978354348255922,8,1,316,11
4ff3_chainA.csv,0.011928805661155251,0.0625,1.0,0.9863013698630136,1.0,0.24828019054377531,1,0,1079,15,0.014419733055086759,0.0,0.9990732159406858,0.9844748858447488,0.0,-0.00368163396543133,0,1,1078,16
1z0s_chainA.csv,0.01819975401439357,1.0,0.9915966386554622,0.9919678714859438,0.8461538461538461,0.9159930729167907,11,2,236,0,0.01932474349440562,0.8181818181818182,0.9831932773109243,0.9759036144578314,0.6923076923076923,0.7402748331970057,9,4,234,2
8dbj_chainA.csv,0.02092439647834628,0.0,1.0,0.9805825242718447,0.0,0.0,0,0,303,6,0.026379914550786407,0.0,0.9933993399339934,0.9741100323624595,0.0,-0.01135795440763265,0,2,301,6
3gqk_chainA.csv,0.038270984327257666,0.75,0.9536423841059603,0.9386503067484663,0.5625,0.6176073124602549,9,7,144,3,0.05524581457495091,0.08333333333333333,1.0,0.9325153374233128,1.0,0.2787021656165261,1,0,151,11
1xdn_chainA.csv,0.009280168860591602,0.9333333333333333,0.9919028340080972,0.9885496183206107,0.875,0.897675065818519,14,2,245,1,0.025966210774637406,0.4,1.0,0.9656488549618321,1.0,0.6212386819894589,6,0,247,9
1d4x_chainA.csv,0.007731235924032609,0.9047619047619048,1.0,0.9945652173913043,1.0,0.9484603432859974,19,0,347,2,0.006802693057127717,0.9047619047619048,1.0,0.9945652173913043,1.0,0.9484603432859974,19,0,347,2
4cta_chainA.csv,0.013552372979170049,0.9375,0.9920634920634921,0.9898477157360406,0.8333333333333334,0.8787286270836334,15,3,375,1,0.01318258860298985,0.8125,0.9920634920634921,0.9847715736040609,0.8125,0.8045634920634921,13,3,375,3
6d5k_chainC.csv,0.034413502966634826,0.0,0.9827586206896551,0.9606741573033708,0.0,-0.01985166667941861,0,3,171,4,0.028558641724191012,0.0,1.0,0.9775280898876404,0.0,0.0,0,0,174,4
7tgk_chainD.csv,0.011084917940313658,0.6521739130434783,1.0,0.9865092748735245,1.0,0.8019646404232815,15,0,570,8,0.013337516219473862,0.6086956521739131,1.0,0.984822934232715,1.0,0.7741021003237324,14,0,570,9
3hy2_chainY.csv,0.0791620701027426,0.2,0.967032967032967,0.8910891089108911,0.4,0.22998646241414494,2,3,88,8,0.09083627169749504,0.0,0.967032967032967,0.8712871287128713,0.0,-0.05799985306722501,0,3,88,10
2j9c_chainA.csv,0.041917339936136756,0.6153846153846154,1.0,0.9572649572649573,1.0,0.7662610281769212,8,0,104,5,0.035802437854888895,0.6923076923076923,0.9903846153846154,0.9572649572649573,0.9,0.7673994195716325,9,1,103,4
1xdp_chainA.csv,0.01001758337827511,0.5384615384615384,0.9985163204747775,0.9898107714701602,0.875,0.6819901822387082,7,1,673,6,0.011821689632749634,0.23076923076923078,0.9985163204747775,0.9839883551673945,0.75,0.410617982489364,3,1,673,10
3zcb_chainA.csv,0.012884097634691893,0.8461538461538461,1.0,0.9891891891891892,1.0,0.9145643443061924,11,0,172,2,0.016104462334967568,0.7692307692307693,1.0,0.9837837837837838,1.0,0.8695078815306714,10,0,172,3
2py7_chainX.csv,0.010907226538607477,0.7368421052631579,1.0,0.9906542056074766,1.0,0.8542661668985055,14,0,516,5,0.014795892664758878,0.47368421052631576,1.0,0.9813084112149533,1.0,0.6816735342408201,9,0,516,10
1mb9_chainB.csv,0.006059976513162978,0.8333333333333334,1.0,0.993963782696177,1.0,0.9100256102668935,15,0,479,3,0.016892742811293764,0.3333333333333333,1.0,0.9758551307847082,1.0,0.5702514303551827,6,0,479,12
6ksh_chainD.csv,0.019396060174710204,0.3125,0.9978902953586498,0.9755102040816327,0.8333333333333334,0.5016016891628523,5,1,473,11,0.02613822646902857,0.0625,0.9978902953586498,0.9673469387755103,0.5,0.1683415831001891,1,1,473,15
3f5m_chainA.csv,0.010941391160831877,0.7058823529411765,1.0,0.9890829694323144,1.0,0.8354453145766717,12,0,441,5,0.020211428077912662,0.35294117647058826,1.0,0.9759825327510917,1.0,0.5868150475678484,6,0,441,11
3amt_chainA.csv,0.012666773052362964,0.8181818181818182,1.0,0.9901234567901235,1.0,0.8998472973579283,18,0,383,4,0.01879259466549383,0.5909090909090909,1.0,0.9777777777777777,1.0,0.759830441978068,13,0,383,9
3dnt_chainA.csv,0.017935971850528396,0.7272727272727273,0.9947780678851175,0.980246913580247,0.8888888888888888,0.7941211135952475,16,2,381,6,0.03001057671794074,0.3181818181818182,0.9947780678851175,0.9580246913580247,0.7777777777777778,0.48120546919151763,7,2,381,15
6aaz_chainA.csv,0.0073168972126528295,0.9230769230769231,1.0,0.9962264150943396,1.0,0.9588682900634827,12,0,252,1,0.01295989289893585,0.6923076923076923,1.0,0.9849056603773585,1.0,0.8255243089185106,9,0,252,4
3wdl_chainB.csv,0.04545299800733597,0.3333333333333333,0.9744680851063829,0.9288537549407114,0.5,0.37225595698835534,6,6,229,12,0.04663911223835969,0.05555555555555555,1.0,0.932806324110672,1.0,0.22761318094761882,1,0,235,17
