Prot.ID,Method,TP,FN,TN,FP,Sen,Spe,Acc,Pre,MCC
121p_chainA,ATPseq,0,0,158,8,0.0,0.9518072289156626,0.9518072289156626,0.0,0.0
121p_chainA,ATPbind,0,0,158,8,0.0,0.9518072289156626,0.9518072289156626,0.0,0.0
1d4x_chainA,ATPseq,19,2,347,0,0.9047619047619048,1.0,0.9945652173913043,1.0,0.9484603432859974
1d4x_chainA,ATPbind,19,2,346,1,0.9047619047619048,0.9971181556195965,0.9918478260869565,0.95,0.9228232976169389
1f3f_chainC,ATPseq,0,0,137,13,0.0,0.9133333333333333,0.9133333333333333,0.0,0.0
1f3f_chainC,ATPbind,0,0,135,15,0.0,0.9,0.9,0.0,0.0
1fit_chainA,ATPseq,0,0,122,2,0.0,0.9838709677419355,0.9838709677419355,0.0,0.0
1fit_chainA,ATPbind,0,0,123,1,0.0,0.9919354838709677,0.9919354838709677,0.0,0.0
1i58_chainA,ATPseq,0,0,169,20,0.0,0.8941798941798942,0.8941798941798942,0.0,0.0
1i58_chainA,ATPbind,0,0,171,18,0.0,0.9047619047619048,0.9047619047619048,0.0,0.0
1j09_chainA,ATPseq,8,6,449,5,0.5714285714285714,0.9889867841409692,0.9764957264957265,0.6153846153846154,0.5809310591127635
1j09_chainA,ATPbind,10,4,450,4,0.7142857142857143,0.9911894273127754,0.9829059829059829,0.7142857142857143,0.7054751415984896
1k90_chainA,ATPseq,0,0,484,1,0.0,0.9979381443298969,0.9979381443298969,0.0,0.0
1k90_chainA,ATPbind,0,0,477,8,0.0,0.9835051546391752,0.9835051546391752,0.0,0.0
1mb9_chainB,ATPseq,8,10,479,0,0.4444444444444444,1.0,0.9798792756539235,1.0,0.6598148232646587
1mb9_chainB,ATPbind,16,2,479,0,0.8888888888888888,1.0,0.9959758551307847,1.0,0.9408468978494244
1rn8_chainA,ATPseq,0,0,135,5,0.0,0.9642857142857143,0.9642857142857143,0.0,0.0
1rn8_chainA,ATPbind,0,0,133,7,0.0,0.95,0.95,0.0,0.0
1s1d_chainA,ATPseq,0,0,315,2,0.0,0.9936908517350158,0.9936908517350158,0.0,0.0
1s1d_chainA,ATPbind,0,0,313,4,0.0,0.9873817034700315,0.9873817034700315,0.0,0.0
1to6_chainA,ATPseq,0,0,360,11,0.0,0.9703504043126685,0.9703504043126685,0.0,0.0
1to6_chainA,ATPbind,0,0,359,12,0.0,0.967654986522911,0.967654986522911,0.0,0.0
